UniProtID	GeneSymbol	P value	FDR	Log2 FC	FDR2
A0A024R4B7	TXNIP	0.002406677	0.003888868	-0.417966784	2.410176798
A0A024R4E2	TARDBP	4.29E-06	1.48E-05	0.361756307	4.829738285
A0A024R4E7	PEX11B	0.049767463	0.049851165	-1.236327919	1.302324688
A0A024R4F1	ENO1	5.45E-05	0.000142653	0.238570025	3.845719091
A0A024R4I7	LZIC	0.000595754	0.001167376	-0.443842424	2.93278924
A0A024R4M8	RDH13	0.019961462	0.023480504	-0.731216147	1.629292585
A0A024R4N0	hCG_1640809	1.12E-06	4.43E-06	-0.665531785	5.353596274
A0A024R4T4	UBE2M	0.003700242	0.005590996	0.084309688	2.252510818
A0A024R4U3	TTLL12	0.030208244	0.032963499	0.22373201	1.481966695
A0A024R4X0	CYB5R3	0.007246616	0.009870446	-0.263579503	2.005663223
A0A024R4Z6	SSRP1	0.001773444	0.002997043	-0.014135574	2.523307026
A0A024R525	FTH1	0.013430287	0.01677296	0.506959615	1.775390289
A0A024R529	DAK	0.028975669	0.031866722	-1.620327595	1.496662608
A0A024R542	TNKS1BP1	1.46E-06	5.62E-06	-0.971095493	5.250263684
A0A024R565	HSPC152	1.92E-08	1.10E-07	1.042136771	6.958607315
A0A024R566	SF1	1.84E-06	6.92E-06	0.425425473	5.159893906
A0A024R578	MRPL49	0.003017357	0.004694341	-0.508881693	2.328425366
A0A024R5B3	AYP1	9.45E-06	3.03E-05	1.288366411	4.518557371
A0A024R5C4	RTN3	0.022500142	0.025896074	-0.837149245	1.586766073
A0A024R5C5	PC	3.85E-06	1.35E-05	-0.492976654	4.869666232
A0A024R5E5	TCIRG1	0.000146094	0.000341363	-0.576406807	3.466783553
A0A024R5F0	MRGPRF	0.004339121	0.00639406	-0.71667778	2.194223293
A0A024R5F4	CPT1A	5.01E-07	2.12E-06	-0.728590514	5.673664139
A0A024R5J4	SSH3	0.007680723	0.010370483	-0.377671395	1.984201016
A0A024R5J6	CHCHD8	0.020629653	0.024092571	0.473989425	1.618116852
A0A024R5K3	NDUFS8	1.16E-11	1.20E-10	-0.897505869	9.920818754
A0A024R5K6	NDUFC2	0.000111358	0.000269979	-0.837368382	3.568670016
A0A024R5K8	SERPINH1	3.54E-32	1.22E-29	0.995593466	28.91364017
A0A024R5L8	STARD10	7.19E-12	7.70E-11	-0.859205221	10.11350927
A0A024R5Q7	ADSS	0.000113312	0.000274287	0.306502634	3.561794776
A0A024R5S4	USP8	0.002698348	0.004277566	0.171451612	2.368803281
A0A024R5S5	EIF3S1	0.000648259	0.001252033	0.177243603	2.902384224
A0A024R5U4	C15orf48	2.22E-17	5.67E-16	-1.347812896	15.24641694
A0A024R5U5	ADAM10	0.000176307	0.000401949	-0.384834191	3.395829047
A0A024R5W6	TPM1	2.07E-05	6.04E-05	-2.057467378	4.218963061
A0A024R601	CLN6	0.011356467	0.014498813	0.44226713	1.838667551
A0A024R625	PPP4C	0.049017424	0.049303402	-0.609232832	1.307123113
A0A024R687	PLEKHC1	0.016768619	0.020192783	-1.00689056	1.694803822
A0A024R693	hCG_22119	4.37E-13	5.71E-12	-0.866111297	11.24336389
A0A024R6A5	PPM1A	0.001341082	0.002368504	-0.488691025	2.625525877
A0A024R6B5	HSPA2	0.001659201	0.00283806	-0.775013504	2.546978427
A0A024R6C9	DLST	3.86E-05	0.000104575	-0.386646597	3.980572127
A0A024R6D3	ENTPD5	1.98E-17	5.20E-16	-1.703743123	15.28399666
A0A024R6D4	ERH	7.49E-10	5.62E-09	0.5494699	8.250263684
A0A024R6D8	SFRS5	0.008306463	0.011084831	0.784461669	1.955270924
A0A024R6G3	FBLN5	0.020663071	0.024122499	0.415369785	1.617577703
A0A024R6G4	ALDH6A1	1.95E-16	4.19E-15	-1.326175803	14.37778598
A0A024R6G6	NDUFB1	1.54E-06	5.88E-06	-0.65860796	5.230622674
A0A024R6K1	CCNK	0.001988581	0.003292325	0.592702636	2.4824973
A0A024R6K3	SETD3	0.016434199	0.019867349	-0.621351477	1.701860079
A0A024R6P0	SERPINA3	1.25E-05	3.92E-05	-1.080727144	4.406713933
A0A024R6Q2	C14orf172	1.62E-11	1.61E-10	1.699205802	9.793174124
A0A024R6R4	MMP2	7.62E-06	2.49E-05	-0.256803224	4.603800653
A0A024R6S1	DNAJA2	0.012107088	0.015330694	0.094305068	1.814438185
A0A024R6T8	NIP30	0.014395223	0.01775602	-0.511487548	1.750654374
A0A024R6W2	NUDT21	0.025014094	0.028382975	-0.070406545	1.546942085
A0A024R6X1	CES2	7.63E-09	4.69E-08	-1.123504263	7.328827157
A0A024R6Y2	NUTF2	1.27E-07	6.26E-07	0.456345981	6.203425667
A0A024R705	VPS4A	0.014769228	0.018146567	-0.713610919	1.741205523
A0A024R713	DLD	0.00075365	0.001427968	-0.431766191	2.845281525
A0A024R718	PBEF1	3.98E-17	9.55E-16	1.046558834	15.01999663
A0A024R732	SNTB2	1.98E-06	7.36E-06	-2.733801113	5.133122186
A0A024R745	NDUFA5	1.58E-15	3.03E-14	-0.83846045	13.51855737
A0A024R753	RBM28	6.22E-14	9.35E-13	1.027742662	12.02918839
A0A024R782	BPGM	2.70E-10	2.20E-09	-1.496354672	8.657577319
A0A024R7A8	AKR1B1	1.44E-15	2.78E-14	-0.857093543	13.5559552
A0A024R7C4	FLJ12949	0.044440092	0.04562898	-0.530929156	1.340759239
A0A024R7C7	ILF3	9.93E-08	4.96E-07	0.502583781	6.304518324
A0A024R7F7	TNPO2	9.31E-08	4.68E-07	0.503746999	6.329754147
A0A024R7F9	GCDH	0.020931642	0.02439005	-0.258608103	1.612787309
A0A024R7G2	RAB3D	0.001524275	0.002633457	-0.459676125	2.579473769
A0A024R7I0	GIPC1	0.000845294	0.001573681	-0.571626288	2.803083299
A0A024R7I3	RAB8A	5.30E-05	0.00013908	-0.540475516	3.856735318
A0A024R7L5	UPF1	0.030921236	0.033614563	-1.029815358	1.47347253
A0A024R7M0	TMED9	0.029107702	0.031956541	-0.005867394	1.495440235
A0A024R7M8	LOC115098	1.81E-05	5.38E-05	0.022141606	4.269217724
A0A024R7N2	ATP13A1	0.047869278	0.048321906	-0.864771946	1.315855944
A0A024R7T3	HNRPF	1.73E-05	5.17E-05	0.398509488	4.286509457
A0A024R7U9	ATP6V1H	0.011075736	0.014193079	-0.765280967	1.84792338
A0A024R7W5	YTHDF3	0.000634447	0.001232276	-0.034871506	2.90929201
A0A024R7X6	RDH10	0.001335578	0.002360131	0.238496816	2.627063891
A0A024R7Y5	TCEB1	0.000688338	0.001318747	0.025594015	2.879838515
A0A024R811	LACTB2	1.37E-08	8.08E-08	0.909877892	7.092588639
A0A024R819	NUDT1	1.88E-07	8.86E-07	0.964251797	6.052566278
A0A024R821	EIF3S9	4.62E-05	0.00012308	0.398930921	3.909812512
A0A024R830	IMPA1	6.14E-05	0.000158386	-0.508092496	3.800283209
A0A024R861	PPP6C	0.000142265	0.000333424	-0.763009719	3.477003143
A0A024R883	ATP6V1G1	0.043815257	0.045108171	-0.051306191	1.345744782
A0A024R895	SET	0.000922714	0.001694378	0.179818032	2.770989696
A0A024R8A7	hCG_31253	3.29E-05	9.11E-05	0.393686411	4.040481623
A0A024R8C7	C9orf74	0.030982007	0.033668057	0.374820822	1.472781946
A0A024R8C8	TBC1D13	0.012132425	0.01535022	-2.56373818	1.813885396
A0A024R8E4	C9orf32	1.50E-07	7.29E-07	0.758082901	6.137272472
A0A024R8E5	COL5A1	0.007224312	0.009844397	-0.704490583	2.006810881
A0A024R8H5	TRAF2	0.028395595	0.031330279	0.33644585	1.504035738
A0A024R8K7	ITGB4	0.018489197	0.021980342	-0.319340453	1.657965555
A0A024R8L7	ACOX1	1.10E-05	3.49E-05	-1.69283467	4.457174573
A0A024R8M0	GNA13	6.48E-12	6.99E-11	-0.694124029	10.15552282
A0A024R8P8	RPL38	0.008367297	0.011146795	0.126374995	1.952849986
A0A024R8R4	NPLOC4	0.012504933	0.015750721	0.05813619	1.802699561
A0A024R8S3	SUMO2	0.015224147	0.018622663	0.752530043	1.729958216
A0A024R8T9	SYNGR2	0.028106682	0.031055777	-0.379616065	1.5078576
A0A024R8U1	SLC16A3	0.00937677	0.012321936	-0.39931983	1.909321051
A0A024R8U5	SFRS2	0.01170715	0.014885149	-0.293316649	1.827246814
A0A024R8U9	PYCR1	9.38E-12	9.81E-11	1.011600406	10.00833099
A0A024R8W0	DDX48	0.037751742	0.039809058	-0.173791896	1.400018099
A0A024R8Z1	MGST3	6.78E-05	0.000173555	-0.27578251	3.76056287
A0A024R904	CACYBP	9.67E-13	1.18E-11	0.809096137	10.92811799
A0A024R930	PRG4	3.86E-05	0.000104575	0.653370129	3.980572127
A0A024R944	SERPINC1	3.17E-08	1.75E-07	-1.064629937	6.756961951
A0A024R972	LAMC1	1.26E-05	3.95E-05	-0.774238167	4.403402904
A0A024R978	C1orf24	5.37E-10	4.17E-09	-1.372199366	8.379863945
A0A024R9A4	DDX3Y	0.002030579	0.003352159	0.634923081	2.47467539
A0A024R9B7	COX6C	0.01355238	0.016877783	-0.681502618	1.772684601
A0A024R9C1	PABPC1	6.02E-12	6.54E-11	0.619572371	10.18442225
A0A024R9D3	RPL30	5.87E-06	1.97E-05	0.385644611	4.705533774
A0A024R9D7	DECR1	0.020114895	0.023625081	-0.291227217	1.626626694
A0A024R9G3	DERL1	3.63E-05	9.93E-05	0.523283202	4.003050752
A0A024R9G4	FAM49B	0.000661113	0.001270518	0.23351376	2.896019178
A0A024R9G7	ATAD2	0.043826027	0.045108171	-0.79628464	1.345744782
A0A024R9H2	HRSP12	2.76E-08	1.55E-07	1.079296913	6.809668302
A0A024R9J0	RAD21	0.018969856	0.02247634	-1.019143639	1.648274407
A0A024R9L1	AQR	0.017051626	0.020501683	-0.670078203	1.688210486
A0A024R9M3	LRRC57	0.004900588	0.00711309	-0.283403366	2.147941696
A0A024R9M9	CHP	1.90E-05	5.62E-05	-0.41879248	4.250263684
A0A024R9N6	EHD4	0.004492413	0.006597965	-0.489786305	2.180589993
A0A024R9U8	HUWE1	2.50E-05	7.10E-05	0.17654762	4.148741651
A0A024R9V7	LOC92689	0.000199399	0.000448974	-0.732575905	3.347778808
A0A024R9W7	TMEM33	1.82E-05	5.38E-05	0.454405601	4.269217724
A0A024R9Y7	MAGED2	2.44E-07	1.11E-06	0.256601673	5.954677021
A0A024R9Z0	NDUFA4	0.022953556	0.026377141	0.357121638	1.578772279
A0A024RA40	CPVL	4.43E-11	4.09E-10	-1.198119004	9.388276692
A0A024RA42	BZW2	5.05E-05	0.000133339	0.152686908	3.875042806
A0A024RA52	PSMA2	1.39E-05	4.29E-05	0.100564354	4.367542708
A0A024RA94	MFAP2	0.044907605	0.04589391	0.232447661	1.33824494
A0A024RAA7	C1QC	1.55E-05	4.70E-05	-0.790332864	4.327902142
A0A024RAB6	HSPG2	1.23E-10	1.05E-09	-0.741750624	8.978810701
A0A024RAC5	RCC2	7.20E-05	0.000182769	0.360647309	3.738097464
A0A024RAE4	CDC42	1.35E-05	4.19E-05	-0.537710719	4.377785977
A0A024RAH8	DDX18	2.45E-08	1.38E-07	-0.622452899	6.860120914
A0A024RAJ6	HEXB	3.83E-07	1.66E-06	-0.573677416	5.779891912
A0A024RAJ8	IQGAP2	5.91E-10	4.55E-09	-0.87492217	8.341988603
A0A024RAL0	XRCC4	3.20E-05	8.88E-05	-1.384913667	4.051587034
A0A024RAM0	TNPO1	1.81E-10	1.52E-09	0.277929354	8.818156412
A0A024RAM4	MAP1B	5.37E-06	1.82E-05	-0.845811872	4.739928612
A0A024RAQ1	CSDA	0.004228654	0.006252107	0.021792201	2.203973598
A0A024RAQ9	CSPG2	4.05E-15	7.32E-14	1.232236178	13.13548892
A0A024RAS3	hCG_27698	3.26E-08	1.80E-07	0.619458538	6.744727495
A0A024RAV0	BCAT1	0.019976918	0.02348976	0.221306265	1.62912142
A0A024RAV2	RECQL	2.26E-09	1.54E-08	0.625296534	7.812479279
A0A024RAX2	MGST1	8.11E-05	0.00020316	-0.704520229	3.692161796
A0A024RAY2	KRT18	0.010977886	0.014085179	0.309235892	1.851237629
A0A024RAZ7	HNRPA1	1.01E-06	4.05E-06	0.1245059	5.392544977
A0A024RB14	RPS26	0.000860537	0.001597256	-0.036141569	2.796625472
A0A024RB22	SMARCC2	4.34E-14	6.74E-13	-1.724740929	12.1713401
A0A024RB32	PTGES3	9.54E-07	3.85E-06	0.283618311	5.41453927
A0A024RB41	hCG_2016482	6.25E-05	0.000160885	0.444702708	3.793484445
A0A024RB72	COPZ1	0.046190095	0.046963722	0.045600334	1.328237491
A0A024RB85	PA2G4	2.40E-05	6.89E-05	0.358098031	4.161780778
A0A024RB87	RAP1B	0.000235157	0.000518552	-0.598096968	3.285207686
A0A024RB99	SHMT2	3.31E-07	1.46E-06	0.414450883	5.835647144
A0A024RBB7	NAP1L1	2.90E-08	1.61E-07	0.532116167	6.793174124
A0A024RBB8	OSBPL8	0.00400605	0.005968591	-1.216358695	2.22412818
A0A024RBC7	ATP2B1	1.31E-15	2.55E-14	-2.18737117	13.59345982
A0A024RBD0	NUDT4	2.43E-05	6.95E-05	-3.47226871	4.158015195
A0A024RBE7	TMPO	0.000858114	0.001594671	0.288224477	2.797328904
A0A024RBG4	PAH	0.014557347	0.017938889	0.2257682	1.746204457
A0A024RBH5	PWP1	0.035269192	0.03750635	-0.22883431	1.425895198
A0A024RBI7	GLTP	4.18E-14	6.60E-13	-0.967135839	12.18045606
A0A024RBK3	RPL6	0.003055175	0.004738889	0.247909636	2.324323464
A0A024RBK7	C12orf42	0.003515913	0.005351656	-1.263774352	2.27151181
A0A024RBQ5	OAS3	0.016397629	0.019830883	-0.264135256	1.702657948
A0A024RBR3	DENR	0.025144769	0.028472866	-0.249262669	1.545568816
A0A024RBV5	RAB9A	0.020258784	0.023722087	-0.125241543	1.624847106
A0A024RBX6	PIR	0.006638733	0.009183878	-0.270413161	2.036973894
A0A024RBX8	AP1S2	0.001760862	0.002983924	-1.101421322	2.525212242
A0A024RBX9	PDHA1	7.94E-06	2.58E-05	-0.376842009	4.588380294
A0A024RBY9	HCCS	2.06E-05	6.01E-05	0.584681486	4.221125528
A0A024RC00	CTPS2	0.010364622	0.013391255	0.344581212	1.87317872
A0A024RC33	MAPRE2	0.001563348	0.002688959	-0.90404495	2.57041582
A0A024RC65	hCG_1991735	0.000171114	0.000392024	-0.411680848	3.406687344
A0A024RC67	PRC1	3.79E-05	0.000102819	0.648263084	3.987926624
A0A024RC68	hCG_1991723	0.002040635	0.003365906	0.098762283	2.472898017
A0A024RC75	CHD2	0.006847472	0.009434701	-0.692754178	2.025271859
A0A024RCB3	CD151	0.002104929	0.003459055	-0.960645962	2.461042533
A0A024RCB7	CD81	1.65E-05	4.95E-05	-0.651398429	4.305394801
A0A024RCC9	NAP1L4	0.001408152	0.002464565	0.105086619	2.608259723
A0A024RCF9	ARMCX3	0.000307216	0.000650575	0.368972655	3.18670263
A0A024RCG2	SLC22A18	0.008078748	0.01082762	-0.637416526	1.965466994
A0A024RCG3	CARS	0.003077241	0.004768338	0.152665896	2.321632968
A0A024RCM3	hCG_2005638	7.02E-05	0.000178939	0.309853795	3.747294994
A0A024RCN6	VARS	0.000106069	0.000258218	0.331509833	3.588013487
A0A024RCR6	BAT3	2.46E-09	1.66E-08	0.465116406	7.779891912
A0A024RCR9	RING1	0.015373939	0.018776219	0.387705687	1.726391858
A0A024RCS7	KIFC1	0.002728629	0.004318934	-0.42162039	2.364623433
A0A024RCX8	PPIL1	6.66E-06	2.20E-05	0.109534778	4.657577319
A0A024RD03	MRPS10	0.005390903	0.007709116	0.400407657	2.112995419
A0A024RD15	MAPK14	0.003977588	0.005931895	0.155928225	2.226806545
A0A024RD36	RPL7L1	2.45E-08	1.38E-07	1.112706046	6.860120914
A0A024RD80	HSP90AB1	8.17E-06	2.65E-05	0.318153238	4.576754126
A0A024RD82	MUT	0.000705773	0.001349925	-0.082295645	2.86969036
A0A024RD93	PAICS	6.70E-07	2.78E-06	0.290270268	5.555955204
A0A024RDB0	UBE1L2	0.025095854	0.028460353	0.145960507	1.545759718
A0A024RDB2	G3BP2	0.000257233	0.000560053	-0.382416721	3.251770872
A0A024RDE8	PDLIM5	5.07E-06	1.73E-05	0.188733048	4.761953897
A0A024RDF3	HNRPD	0.008870447	0.011731271	0.187295142	1.930654933
A0A024RDF6	HNRPDL	1.03E-06	4.12E-06	0.449824205	5.385102784
A0A024RDH8	RPL34	0.029894526	0.032727529	0.067447127	1.485086784
A0A024RDI6	NUDT9	0.000206651	0.000463282	-0.436509459	3.334154573
